country,iso_alpha3,region,sub_region,exag_env,climate_crisis,protect_env,sex,age,educyrs,degree,soc_rank,gov_peo,gov_bus,how_bus,how_peo,mem_env,care_env
Argentina,ARG,Americas,Latin America and the Caribbean,9,32,7,0,47,7,Uni,middle,0,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,28,12,1,38,10,Uni,middle,1,0,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,4,29,5,0,25,14,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,30,5,1,51,7,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,29,9,0,50,7,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,5,29,8,1,31,19,noUni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,33,3,1,40,9,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,33,9,0,33,12,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,26,4,1,43,18,noUni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,11,26,3,0,45,12,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,7,31,9,0,33,16,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,24,9,0,47,15,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,28,10,0,40,5,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,23,5,0,21,96,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,11,26,7,1,59,12,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,9,22,5,1,51,10,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,29,9,1,40,15,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,10,28,7,0,41,7,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,10,25,6,1,55,7,Uni,middle,0,0,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,29,9,0,38,15,Uni,middle,1,1,2,2,1,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,28,9,1,26,12,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,28,6,0,30,9,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,35,7,0,54,12,Uni,middle,0,1,1,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,35,5,1,46,7,Uni,middle,0,1,1,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,28,6,0,35,15,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,7,29,6,0,45,15,Uni,middle,1,1,0,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,27,8,0,55,9,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,26,12,0,36,14,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,13,29,7,1,21,9,Uni,middle,1,0,2,1,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,7,35,11,1,43,10,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,28,7,0,26,96,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,31,6,0,68,7,Uni,middle,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,28,8,1,32,18,noUni,middle,1,1,0,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,30,5,0,43,10,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,27,6,0,71,7,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,33,4,0,31,18,noUni,high,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,34,7,1,39,12,Uni,middle,0,0,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,30,7,1,18,12,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,29,7,0,70,4,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,33,5,0,64,7,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,32,11,0,56,7,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,29,12,0,24,17,Uni,middle,1,1,0,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,27,12,0,39,12,Uni,middle,0,1,0,0,1,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,28,8,0,32,11,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,11,29,11,1,60,7,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,9,28,8,1,50,7,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,28,6,0,35,8,Uni,middle,1,0,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,23,6,1,52,9,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,21,7,0,54,7,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,7,28,9,1,54,15,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,27,3,0,35,12,Uni,low,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,7,28,12,0,58,16,Uni,middle,0,0,1,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,35,8,1,48,9,Uni,low,0,0,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,20,5,0,32,17,Uni,low,1,1,1,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,3,33,6,1,29,15,Uni,middle,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,31,5,0,29,11,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,30,10,0,58,9,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,31,10,1,30,15,Uni,low,1,1,1,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,5,32,7,0,30,14,Uni,middle,0,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,33,11,1,51,10,Uni,middle,0,1,0,2,0,1
